name;src_min;src_max;src_mean;src_abs_mean;src_unit_energy;x_LL_min;x_LL_max;x_LL_mean;x_LL_abs_mean;x_LL_unit_energy;x_LH_min;x_LH_max;x_LH_mean;x_LH_abs_mean;x_LH_unit_energy;X_HL_min;X_HL_max;X_HL_mean;X_HL_abs_mean;X_HL_unit_energy;X_HH_min;X_HH_max;X_HH_mean;X_HH_abs_mean;X_HH_unit_energy
CDF-9/7;-1.0;1.0;-0.637;1.0;512.0;-1.284;1.184;-0.636;0.975;251.224;-0.237;0.237;0.002;0.009;7.98;-0.237;0.237;0.001;0.01;8.279;-0.055;0.042;0.0;0.002;1.555
CDF-5/3;-1.0;1.0;-0.637;1.0;512.0;-1.0;1.0;-0.635;0.963;248.892;-1.5;1.5;0.005;0.068;61.977;-1.5;1.5;0.004;0.072;64.366;-2.21;2.121;0.011;0.08;81.959
Haar;-1.0;1.0;-0.637;1.0;512.0;-1.0;1.0;-0.637;0.971;251.432;-2.0;2.0;0.01;0.041;60.902;-2.0;2.0;0.009;0.042;62.841;-1.414;1.414;0.011;0.035;56.798
Daubechies-4;-1.0;1.0;-0.637;1.0;512.0;-1.383;1.333;-0.637;0.978;252.544;-1.583;2.208;0.012;0.052;50.899;-1.583;2.583;0.011;0.054;52.804;-1.979;1.626;0.011;0.05;55.366
Coiflet-12;-1.0;1.0;-0.637;1.0;512.0;-1.331;1.211;-0.634;0.978;252.53;-1.678;1.459;0.004;0.058;52.176;-1.678;1.459;0.003;0.061;53.805;-1.836;1.503;0.011;0.054;53.972
Bior_spline-3/3;-1.0;1.0;-0.637;1.0;512.0;-2.169;1.914;-0.64;1.016;264.906;-1.656;2.234;0.011;0.053;46.54;-1.656;2.234;0.009;0.054;48.214;-1.061;1.061;0.011;0.031;33.468
Bior_spline-3/5;-1.0;1.0;-0.637;1.0;512.0;-2.179;1.946;-0.64;1.016;265.096;-1.607;2.171;0.011;0.053;46.04;-1.607;2.171;0.009;0.055;47.716;-1.061;1.061;0.011;0.031;33.468
Bior_spline-3/7;-1.0;1.0;-0.637;1.0;512.0;-1.751;1.701;-0.64;0.989;256.877;-2.61;2.532;0.011;0.091;81.762;-2.613;2.535;0.009;0.094;83.507;-1.414;1.149;0.011;0.047;42.546
Bior_spline-3/9;-1.0;1.0;-0.637;1.0;512.0;-1.72;1.714;-0.64;0.987;256.36;-2.584;2.514;0.011;0.091;81.136;-2.609;2.519;0.009;0.094;82.957;-1.414;1.149;0.011;0.047;42.546
Bior_spline-4/8;-1.0;1.0;-0.637;1.0;512.0;-3.165;2.649;-0.641;1.049;276.982;-1.746;1.746;0.01;0.064;50.783;-1.747;1.746;0.008;0.067;53.378;-1.061;0.818;0.011;0.03;29.42
Rev_bior_spline-3/3;-1.0;1.0;-0.637;1.0;512.0;-1.0;1.0;-0.635;0.951;247.187;-2.5;2.609;0.01;0.078;69.651;-2.5;2.891;0.008;0.083;73.083;-3.411;3.362;0.011;0.128;128.314
Rev_bior_spline-3/5;-1.0;1.0;-0.637;1.0;512.0;-1.0;1.0;-0.635;0.951;247.187;-2.188;2.238;0.01;0.075;62.709;-2.188;2.515;0.008;0.081;65.748;-3.368;3.037;0.011;0.131;120.824
Rev_bior_spline-3/7;-1.0;1.0;-0.637;1.0;512.0;-1.0;1.0;-0.635;0.951;247.187;-2.051;2.076;0.01;0.077;60.412;-2.051;2.365;0.008;0.084;63.275;-3.364;2.995;0.011;0.136;119.074
Rev_bior_spline-3/9;-1.0;1.0;-0.637;1.0;512.0;-1.0;1.0;-0.635;0.951;247.187;-1.974;1.998;0.01;0.079;59.386;-1.974;2.332;0.008;0.085;62.147;-3.36;3.015;0.011;0.142;119.011
Rev_bior_spline-4/8;-1.0;1.0;-0.637;1.0;512.0;-1.778;1.778;-1.127;1.681;436.723;-2.253;1.975;0.003;0.111;83.057;-2.253;2.068;0.001;0.119;86.209;-2.675;2.397;0.006;0.137;103.927
